DATE,AGG,BNB-USD,BTC-USD,DBC,DOGE-USD,ETH-USD,GLD,IEF,SHIB-USD,SOL-USD,TLT,URTH,VNQ,XRP-USD,^IRX,^RUT,^SPX,^VIX,PUT,Mkt-RF,SMB,HML,RF,CDX.NA.IG
2021-11-16,99.98094940185547,589.8228759765625,60161.24609375,19.166711807250977,0.2372490018606186,4216.365234375,172.9199981689453,101.20124816894531,4.8000001697801054e-05,219.23902893066406,126.19332122802734,127.79358673095703,93.72372436523438,1.0909340381622314,0.03999999910593033,2405.02001953125,4700.89990234375,16.3700008392334,2413.75,0.44,0.04,-0.68,0.0,50.638
2021-11-17,100.218017578125,578.0927734375,60368.01171875,18.99582290649414,0.23748700320720673,4287.59375,174.5,101.56499481201172,4.8000001697801054e-05,218.71524047851562,127.193359375,127.45592498779297,94.0141830444336,1.096290946006775,0.04500000178813934,2377.010009765625,4688.669921875,17.110000610351562,2413.87,-0.41,-0.57,-0.26,0.0,50.973
2021-11-18,100.30585479736328,532.2376098632812,56942.13671875,19.05878257751465,0.2213830053806305,4000.65087890625,173.94000244140625,101.62711334228516,4.199999966658652e-05,195.48741149902344,127.67167663574219,127.76545715332031,94.03125762939453,1.0419540405273438,0.04500000178813934,2363.590087890625,4704.5400390625,17.59000015258789,2413.96,0.14,-0.56,-0.06,0.0,51.085
2021-11-19,100.49905395507812,581.5308227539062,58119.578125,18.75297737121582,0.2331099957227707,4298.306640625,172.61000061035156,101.9021224975586,4.8999998398358e-05,215.28001403808594,129.01962280273438,127.20269012451172,93.4759750366211,1.0914920568466187,0.04500000178813934,2343.159912109375,4697.9599609375,17.90999984741211,2411.13,-0.25,-0.17,-1.31,0.0,51.76
2021-11-22,100.0160903930664,559.1270141601562,56289.2890625,18.88789176940918,0.21967600286006927,4088.457763671875,168.74000549316406,101.15689849853516,4.3000000005122274e-05,215.73727416992188,127.5064697265625,126.54613494873047,93.01465606689453,1.0366220474243164,0.03999999910593033,2331.35009765625,4682.93994140625,19.170000076293945,2407.78,-0.57,-0.54,2.78,0.0,52.671
2021-11-23,99.6209487915039,591.4395751953125,57569.07421875,19.229671478271484,0.22651199996471405,4340.763671875,167.27999877929688,100.73988342285156,4.199999966658652e-05,221.83689880371094,125.66277313232422,126.55550384521484,93.76644134521484,1.0670570135116577,0.04500000178813934,2327.860107421875,4690.7001953125,19.3799991607666,2411.17,-0.02,-0.52,1.77,0.0,53.01
2021-11-24,99.84922790527344,581.3953247070312,56280.42578125,19.157718658447266,0.2218250036239624,4239.9814453125,167.1199951171875,101.05042266845703,3.9999998989515007e-05,214.92153930664062,127.6803970336914,126.6492919921875,94.90261840820312,1.0420750379562378,0.05000000074505806,2331.4599609375,4701.4599609375,18.579999923706055,2414.56,0.3,0.03,-0.87,0.0,53.02
2021-11-26,100.56050872802734,585.1473388671875,53569.765625,18.015451431274414,0.20088699460029602,4030.908935546875,166.85000610351562,102.35460662841797,3.7999998312443495e-05,191.51174926757812,130.90673828125,123.80735778808594,92.26289367675781,0.9363499879837036,0.0430000014603138,2245.93994140625,4594.6201171875,28.6200008392334,2374.9,-2.23,-1.22,-0.95,0.0,57.454
2021-11-29,100.61318969726562,624.31005859375,57806.56640625,18.015451431274414,0.21517500281333923,4445.10498046875,166.6199951171875,102.1239013671875,4.600000102072954e-05,204.31936645507812,129.85446166992188,124.8953628540039,92.94633483886719,0.9919610023498535,0.03799999877810478,2241.97998046875,4655.27001953125,22.959999084472656,2401.21,1.1,-1.02,-0.78,0.0,55.083
2021-11-30,100.78004455566406,622.6698608398438,57005.42578125,17.52076530456543,0.21471500396728516,4631.47900390625,165.5,102.73605346679688,4.70000013592653e-05,208.67098999023438,131.82859802246094,122.96324157714844,91.18648529052734,0.9987540245056152,0.04800000041723251,2198.909912109375,4567.0,27.190000534057617,2368.66,-1.95,0.53,-1.13,0.0,57.687
2021-12-01,100.79939270019531,627.9715576171875,57229.828125,17.36786460876465,0.20948700606822968,4586.990234375,166.16000366210938,102.92961120605469,4.400000034365803e-05,229.7992401123047,132.641845703125,121.5094223022461,89.68293762207031,0.9909300208091736,0.05000000074505806,2147.419921875,4513.0400390625,31.1200008392334,2340.98,-1.59,-0.78,1.09,0.0,58.663
2021-12-02,100.78176879882812,619.4701538085938,56477.81640625,17.52076530456543,0.2097260057926178,4511.30224609375,165.24000549316406,102.70767974853516,4.199999966658652e-05,233.9930419921875,132.80726623535156,123.2352066040039,92.37396240234375,0.9723119735717773,0.0430000014603138,2206.330078125,4577.10009765625,27.950000762939453,2372.86,1.53,0.72,1.24,0.0,57.333
2021-12-03,101.18628692626953,594.635986328125,53598.24609375,17.538753509521484,0.19999299943447113,4220.7060546875,166.6300048828125,103.31140899658203,3.9999998989515007e-05,211.22439575195312,134.3918914794922,122.3066635131836,92.06640625,0.9222440123558044,0.0430000014603138,2159.31005859375,4538.43017578125,30.670000076293945,2357.21,-1.18,-1.15,1.08,0.0,58.456
2021-12-06,100.83454895019531,589.2561645507812,50582.625,17.844560623168945,0.17839999496936798,4358.7373046875,166.22000122070312,102.79643249511719,3.7000001611886546e-05,194.19921875,132.54598999023438,123.5728759765625,93.68099975585938,0.8282880187034607,0.0430000014603138,2203.47998046875,4591.669921875,27.18000030517578,2383.66,1.2,0.76,0.63,0.0,56.101
2021-12-07,100.6762466430664,579.6898803710938,50700.0859375,18.1143856048584,0.17680500447750092,4315.0615234375,166.80999755859375,102.40579223632812,3.600000127335079e-05,190.59690856933594,131.47503662109375,126.1522216796875,95.03077697753906,0.8185880184173584,0.057999998331069946,2253.7900390625,4686.75,21.889999389648438,2419.58,2.22,0.2,-1.78,0.0,53.603
2021-12-08,100.41244506835938,607.5927734375,50504.796875,18.357229232788086,0.1791509985923767,4439.35791015625,166.89999389648438,102.07730102539062,3.7000001611886546e-05,194.6217041015625,129.20249938964844,126.58364868164062,95.71420288085938,0.863306999206543,0.05999999865889549,2271.7099609375,4701.2099609375,19.899999618530273,2426.43,0.46,0.67,-0.85,0.0,53.569
2021-12-09,100.42123413085938,571.6489868164062,47672.12109375,18.07840919494629,0.1694840043783188,4119.81591796875,165.8800048828125,102.33476257324219,3.5000000934815034e-05,181.17808532714844,129.92520141601562,125.49566650390625,94.33025360107422,0.8612719774246216,0.05299999937415123,2220.2099609375,4667.4501953125,21.579999923706055,2417.32,-1.04,-1.36,1.55,0.0,54.7
2021-12-10,100.4476318359375,552.9668579101562,47243.3046875,18.285276412963867,0.16442200541496277,3908.49609375,166.5800018310547,102.40579223632812,3.400000059627928e-05,167.954833984375,129.61172485351562,126.22722625732422,94.62071228027344,0.8010969758033752,0.05000000074505806,2211.81005859375,4712.02001953125,18.690000534057617,2433.47,0.71,-0.83,0.52,0.0,53.368
