,BTC-USD,ETH-USD,BNB-USD,SOL-USD,XRP-USD,SHIB-USD,DOGE-USD
2024-01-12,0.8364357022407749,2.0155658977847244e-12,0.16356429775024123,4.004454173475781e-13,5.878939498996725e-12,2.1779528115276674e-13,4.710670283923235e-13
2024-01-16,0.7618443971538251,0.005292121561400893,0.23286347939432403,2.56794459264066e-12,1.877945303503273e-09,3.0353973671782143e-12,6.901309180996223e-12
2024-01-17,0.75671575751739,5.221319457689871e-11,0.2345318206101701,2.0835709936656264e-13,0.008752421819275913,2.419709413170467e-13,5.005413274601573e-13
2024-01-18,0.7567157574704754,1.0485569887167433e-11,0.23453182062519043,5.715448778798602e-14,0.00875242189361558,5.6279603224718215e-14,1.1957004082531926e-13
2024-01-19,0.7567157574460884,1.538170194455703e-11,0.2345318206236967,2.9124773262522664e-13,0.008752421913549871,3.091897396674319e-13,6.829367282289219e-13
2024-01-22,0.7567157574605574,6.041667509358571e-12,0.23453182062595504,1.7992675856666043e-13,0.008752421906646912,1.9421253182583015e-13,4.245948223795645e-13
2024-01-23,0.756209379856647,2.1985340434556115e-13,0.23456102636588724,5.4762433506234184e-14,0.009229593777066874,1.3742285587646173e-14,1.1051498033555812e-13
2024-01-24,0.7562093798571148,5.710474807793071e-13,0.23456102636525836,3.2739227614747775e-14,0.009229593776301604,8.221598929281e-14,6.391926008531534e-13
2024-01-25,0.7562093798575668,5.141419087824163e-13,0.23456102636517284,3.760071923556172e-14,0.009229593776120497,6.148307410837189e-14,5.266736552101619e-13
2024-01-26,0.7562093798570628,1.95872277490464e-13,0.2345610263654284,3.229437562257715e-14,0.00922959377714227,1.0207615858452428e-14,1.2812379340721952e-13
2024-01-29,0.7562093798573973,5.840342384650834e-13,0.2345610263652192,3.737695239666279e-14,0.009229593776037378,7.864321404405153e-14,6.459841549494298e-13
2024-01-30,0.7562093798575446,5.889841079774484e-13,0.2345610263652252,3.8356256980219135e-14,0.009229593775874283,7.895727904867902e-14,6.498567555895366e-13
2024-01-31,0.7562093798581406,6.724871025617379e-13,0.23456102636516596,4.674204628567379e-14,0.009229593775214892,8.370422636998606e-14,6.756502122431832e-13
2024-02-01,0.7562093798576662,6.380472588528177e-13,0.2345610263652381,3.861008952067417e-14,0.009229593775647192,8.846482851519796e-14,6.833440613590647e-13
2024-02-02,0.7562093798580298,6.635903136093455e-13,0.23456102636519385,4.170574306899985e-14,0.009229593775307392,8.839279937641852e-14,6.752394088128784e-13
2024-02-05,0.7562093798578574,6.294545329435013e-13,0.23456102636520856,3.9325923292157214e-14,0.009229593775513353,8.412807253652568e-14,6.678202051357745e-13
2024-02-06,0.7562093798577832,6.357169911054271e-13,0.23456102636523843,3.651384221618286e-14,0.009229593775512232,8.83300654568185e-14,7.054859850079363e-13
2024-02-07,0.7562093798582058,6.514974154966351e-13,0.2345610263651387,4.1192344184301725e-14,0.009229593775187341,8.296439839505202e-14,6.925955356063837e-13
2024-02-08,0.7562093798586389,1.0339275496123926e-12,0.23456102636520146,1.0457204505287437e-13,0.009229593773936565,1.4227965114773998e-13,9.421010383862657e-13
2024-02-09,0.7562093798587888,6.751245681126753e-13,0.23456102636511164,9.621479915551042e-14,0.009229593774796903,6.06847470147496e-14,4.705512114482922e-13
2024-02-12,0.7562093798567446,3.976893427120527e-13,0.23456102636555665,1.1237417899886719e-13,0.009229593776983147,3.4482707983504294e-14,1.710332409322136e-13
2024-02-13,0.7562093798983686,2.212524132300083e-12,0.2345610263627591,2.931472660533308e-13,0.00922959373489343,3.375104335080826e-13,1.1358080031434366e-12
2024-02-14,0.756209379877808,1.681906582665812e-12,0.23456102636357656,1.754857119413637e-13,0.009229593755715908,2.3789579055483345e-13,8.043150342044506e-13
2024-02-15,0.7562093799124022,2.705536726140263e-12,0.2345610263625212,3.7262798829588856e-13,0.009229593720253065,4.0188080304827477e-13,1.343588173614876e-12
2024-02-16,0.756209379139501,2.1816997757498996e-12,0.2345610266665666,1.6013083472291525e-13,0.009229594190140309,3.1847030423501886e-13,1.1317332912955796e-12
2024-02-20,0.7560435108060386,1.3362431557337216e-11,0.2346309771909176,1.471969755889073e-12,0.009325511979335942,2.049879391723879e-12,6.823505003668209e-12
2024-02-21,0.7560435107878339,1.3325177449877407e-11,0.23463097719822876,1.42093692356118e-12,0.009325511990702374,1.986181821530321e-12,6.502433451700096e-12
2024-02-22,0.7560435107787917,1.8279579825859524e-11,0.234630977206392,1.86749023868929e-12,0.009325511982571104,2.707193212070591e-12,9.390913714434017e-12
2024-02-23,0.7560435108213888,2.756995901684111e-11,0.23463097718579687,2.353421156115871e-12,0.009325511945662557,3.905567343730981e-12,1.332290557945691e-11
2024-02-26,0.7560435105273645,5.349662178896344e-13,0.23463097728410404,3.9134704166823424e-14,0.009325512187623985,7.363318883869019e-14,2.5978439527719906e-13
